sceneName,sceneVersion,sceneStart,sceneEnd,sceneDuration,sceneTeoricDuration,stim0_position_xy,stim1_position_xy,stim0_contrastValue,stim1_contrastValue,correctValue,response,isCorrect
first,340,594.8840,595.3841,0.5002,0.5,(-275.0;0.0),(275.0;0.0),1.0,0.2,0,0,1
first,341,596.0840,597.0675,0.9835,0.9833334,(275.0;0.0),(-275.0;0.0),0.0671,0.0,1,0,0
first,342,597.7675,598.6842,0.9167,0.9166667,(275.0;0.0),(-275.0;0.0),0.0082,0.0,1,0,0
first,343,599.3843,599.9676,0.5833,0.5833334,(275.0;0.0),(-275.0;0.0),0.0323,0.0088,1,1,1
first,344,600.6677,601.3176,0.6499,0.65000004,(275.0;0.0),(-275.0;0.0),0.0029,0.0,1,1,1
first,345,602.0177,602.6345,0.6168,0.6166667,(-275.0;0.0),(275.0;0.0),0.2082,0.2,0,1,0
first,346,603.3345,603.8345,0.5000,0.5,(275.0;0.0),(-275.0;0.0),0.0759,0.0088,1,1,1
first,347,604.5344,605.0346,0.5002,0.5,(275.0;0.0),(-275.0;0.0),0.0671,0.0,1,1,1
first,348,605.7346,606.6014,0.8667,0.86666673,(275.0;0.0),(-275.0;0.0),0.0082,0.0,1,1,1
first,349,607.3014,608.0348,0.7334,0.73333335,(275.0;0.0),(-275.0;0.0),0.5171,0.45,1,1,1
first,350,608.7348,609.6181,0.8833,0.8833334,(275.0;0.0),(-275.0;0.0),0.0177,0.0167,1,1,1
first,351,610.3182,610.8515,0.5333,0.53333336,(275.0;0.0),(-275.0;0.0),0.0838,0.0167,1,1,1
first,352,611.5516,612.0851,0.5335,0.53333336,(-275.0;0.0),(275.0;0.0),0.0671,0.0,0,0,1
first,353,612.7850,613.3684,0.5834,0.5833334,(275.0;0.0),(-275.0;0.0),0.0323,0.0088,1,1,1
first,354,614.0684,614.5184,0.4500,0.45000002,(-275.0;0.0),(275.0;0.0),0.6421,0.45,0,0,1
first,355,615.2184,616.1018,0.8834,0.8833334,(275.0;0.0),(-275.0;0.0),0.0117,0.0088,1,1,1
first,356,616.8019,617.6354,0.8336,0.8333334,(-275.0;0.0),(275.0;0.0),0.2235,0.2,0,0,1
first,357,618.3353,619.2187,0.8834,0.8833334,(-275.0;0.0),(275.0;0.0),0.0323,0.0088,0,0,1
first,358,619.9187,620.6021,0.6834,0.6833334,(-275.0;0.0),(275.0;0.0),0.2235,0.2,0,1,0
first,359,621.3022,622.0358,0.7336,0.73333335,(275.0;0.0),(-275.0;0.0),0.0529,0.05,1,1,1
first,360,622.7355,623.3523,0.6168,0.6166667,(275.0;0.0),(-275.0;0.0),0.4735,0.45,1,0,0
first,361,624.0523,624.6358,0.5835,0.5833334,(-275.0;0.0),(275.0;0.0),0.2088,0.0167,0,0,1
first,362,625.3357,625.9689,0.6332,0.6333334,(275.0;0.0),(-275.0;0.0),0.0323,0.0088,1,1,1
