sceneName,sceneVersion,sceneStart,sceneEnd,sceneDuration,sceneTeoricDuration,stim0_position_xy,stim1_position_xy,stim0_contrastValue,stim1_contrastValue,correctValue,response,isCorrect
first,27,153.8924,155.0091,1.1168,1.1166667,(-275.0;0.0),(275.0;0.0),0.2082,0.2,0,1,0
first,28,155.7092,156.8925,1.1834,1.1833334,(-275.0;0.0),(275.0;0.0),0.0759,0.0088,0,0,1
first,29,157.5927,158.5760,0.9834,0.9833334,(-275.0;0.0),(275.0;0.0),0.6421,0.45,0,0,1
first,30,159.2761,160.5097,1.2336,1.2333333,(275.0;0.0),(-275.0;0.0),0.0235,0.0,1,1,1
first,31,161.2095,162.4595,1.2500,1.2500001,(275.0;0.0),(-275.0;0.0),0.5171,0.45,1,1,1
first,32,163.1597,164.4772,1.3176,1.3166667,(-275.0;0.0),(275.0;0.0),0.0249,0.0167,0,0,1
first,33,165.1763,166.2599,1.0836,1.0833334,(275.0;0.0),(-275.0;0.0),0.3921,0.2,1,1,1
first,34,166.9598,168.0931,1.1333,1.1333334,(275.0;0.0),(-275.0;0.0),0.0759,0.0088,1,1,1
first,35,168.7930,169.8933,1.1003,1.1,(275.0;0.0),(-275.0;0.0),0.5171,0.45,1,1,1
first,36,170.5934,171.7265,1.1331,1.1333334,(275.0;0.0),(-275.0;0.0),0.0838,0.0167,1,1,1
first,37,172.4267,173.6269,1.2002,1.2,(275.0;0.0),(-275.0;0.0),0.4735,0.45,1,1,1
first,38,174.3269,175.6268,1.2999,1.3000001,(-275.0;0.0),(275.0;0.0),0.0082,0.0,0,0,1
first,39,176.3270,177.4267,1.0998,1.1,(275.0;0.0),(-275.0;0.0),0.4582,0.45,1,1,1
first,40,178.1271,179.2273,1.1002,1.1,(-275.0;0.0),(275.0;0.0),0.5171,0.45,0,0,1
first,41,179.9273,180.8773,0.9500,0.95000005,(275.0;0.0),(-275.0;0.0),0.2421,0.05,1,1,1
first,42,181.5774,182.5605,0.9831,0.9833334,(-275.0;0.0),(275.0;0.0),0.3921,0.2,0,0,1
first,43,183.2609,184.3108,1.0500,1.0500001,(275.0;0.0),(-275.0;0.0),0.0529,0.05,1,1,1
first,44,185.0108,186.1943,1.1835,1.1833334,(-275.0;0.0),(275.0;0.0),0.0117,0.0088,0,1,0
first,45,186.8943,188.0111,1.1168,1.1166667,(275.0;0.0),(-275.0;0.0),0.0323,0.0088,1,1,1
first,46,188.7110,189.7445,1.0335,1.0333334,(275.0;0.0),(-275.0;0.0),0.3921,0.2,1,1,1
first,47,190.4444,191.5113,1.0668,1.0666667,(275.0;0.0),(-275.0;0.0),0.2082,0.2,1,1,1
first,48,192.2112,193.3613,1.1501,1.1500001,(-275.0;0.0),(275.0;0.0),0.0323,0.0088,0,0,1
first,49,194.0613,195.9448,1.8835,1.8833334,(275.0;0.0),(-275.0;0.0),0.0082,0.0,1,0,0
first,50,196.6448,197.6116,0.9668,0.9666667,(275.0;0.0),(-275.0;0.0),0.2009,0.0088,1,1,1
first,51,198.3115,199.4950,1.1834,1.1833334,(-275.0;0.0),(275.0;0.0),0.0082,0.0,0,0,1
first,52,200.1949,201.1288,0.9338,0.9333334,(275.0;0.0),(-275.0;0.0),1.0,0.45,1,1,1
first,53,201.8284,202.7448,0.9164,0.9166667,(275.0;0.0),(-275.0;0.0),0.2421,0.05,1,1,1
first,54,203.4452,204.3620,0.9168,0.9166667,(-275.0;0.0),(275.0;0.0),0.5171,0.45,0,1,0
first,55,205.0619,206.3787,1.3168,1.3166667,(275.0;0.0),(-275.0;0.0),0.001,0.0,1,1,1
first,56,207.0787,207.9300,0.8512,0.85,(-275.0;0.0),(275.0;0.0),0.2671,0.2,0,1,0
first,57,208.6289,209.9453,1.3164,1.3166667,(275.0;0.0),(-275.0;0.0),0.0029,0.0,1,1,1
first,58,210.6456,211.4955,0.8499,0.85,(275.0;0.0),(-275.0;0.0),1.0,0.2,1,1,1
first,59,212.1956,213.1627,0.9670,0.9666667,(-275.0;0.0),(275.0;0.0),0.0671,0.0,0,0,1
first,60,213.8624,214.8292,0.9668,0.9666667,(-275.0;0.0),(275.0;0.0),0.2235,0.2,0,1,0
first,61,215.5292,216.5130,0.9837,0.9833334,(-275.0;0.0),(275.0;0.0),0.5171,0.45,0,0,1
first,62,217.2126,218.0959,0.8833,0.8833334,(275.0;0.0),(-275.0;0.0),0.2088,0.0167,1,1,1
first,63,218.7961,219.8963,1.1002,1.1,(-275.0;0.0),(275.0;0.0),0.4582,0.45,0,1,0
first,64,220.5961,222.9463,2.3501,2.3500001,(275.0;0.0),(-275.0;0.0),0.0177,0.0167,1,1,1
first,65,223.6464,224.6131,0.9667,0.9666667,(275.0;0.0),(-275.0;0.0),0.0402,0.0167,1,1,1
first,66,225.3129,226.6798,1.3669,1.3666668,(275.0;0.0),(-275.0;0.0),0.0117,0.0088,1,1,1
first,67,227.3798,228.5966,1.2168,1.2166667,(275.0;0.0),(-275.0;0.0),0.0177,0.0167,1,1,1
first,68,229.2966,230.3301,1.0335,1.0333334,(275.0;0.0),(-275.0;0.0),0.0582,0.05,1,1,1
first,69,231.0301,232.1634,1.1332,1.1333334,(-275.0;0.0),(275.0;0.0),0.0117,0.0088,0,0,1
first,70,232.8635,234.3803,1.5168,1.5166668,(-275.0;0.0),(275.0;0.0),0.5171,0.45,0,0,1
first,71,235.0803,236.1138,1.0335,1.0333334,(-275.0;0.0),(275.0;0.0),0.0323,0.0088,0,0,1
first,72,236.8135,238.3305,1.5171,1.5166668,(275.0;0.0),(-275.0;0.0),0.0249,0.0167,1,0,0
first,73,239.0305,240.4474,1.4169,1.4166667,(-275.0;0.0),(275.0;0.0),0.0177,0.0167,0,1,0
first,74,241.1473,242.1642,1.0170,1.0166668,(-275.0;0.0),(275.0;0.0),0.0671,0.0,0,0,1
first,75,242.8641,243.8474,0.9834,0.9833334,(-275.0;0.0),(275.0;0.0),0.75,0.2,0,0,1
first,76,244.5475,245.5976,1.0501,1.0500001,(-275.0;0.0),(275.0;0.0),0.0838,0.0167,0,0,1
first,77,246.2976,247.3810,1.0834,1.0833334,(275.0;0.0),(-275.0;0.0),0.0196,0.0167,1,0,0
first,78,248.0810,248.9977,0.9167,0.9166667,(275.0;0.0),(-275.0;0.0),0.2088,0.0167,1,1,1
first,79,249.6978,250.5978,0.8999,0.90000004,(275.0;0.0),(-275.0;0.0),0.1921,0.0,1,1,1
first,80,251.2978,252.2646,0.9667,0.9666667,(-275.0;0.0),(275.0;0.0),1.0,0.2,0,0,1
first,81,252.9646,254.2147,1.2500,1.2500001,(275.0;0.0),(-275.0;0.0),0.001,0.0,1,0,0
first,82,254.9147,255.8480,0.9333,0.9333334,(-275.0;0.0),(275.0;0.0),0.2088,0.0167,0,0,1
first,83,256.5482,259.6484,3.1002,3.1000001,(275.0;0.0),(-275.0;0.0),0.2082,0.2,1,1,1
first,84,260.3481,261.4983,1.1502,1.1500001,(275.0;0.0),(-275.0;0.0),0.0529,0.05,1,1,1
first,85,262.1985,263.1487,0.9502,0.95000005,(-275.0;0.0),(275.0;0.0),0.017,0.0088,0,0,1
first,86,263.8485,265.9488,2.1003,2.1000001,(275.0;0.0),(-275.0;0.0),0.1921,0.0,1,1,1
first,87,266.6487,267.7656,1.1168,1.1166667,(275.0;0.0),(-275.0;0.0),0.6,0.05,1,1,1
first,88,268.4655,270.3822,1.9167,1.9166667,(-275.0;0.0),(275.0;0.0),0.2671,0.2,0,1,0
first,89,271.0823,271.8324,0.7501,0.75000006,(-275.0;0.0),(275.0;0.0),0.2421,0.05,0,0,1
first,90,272.5324,274.4325,1.9001,1.9000001,(275.0;0.0),(-275.0;0.0),0.0671,0.0,1,1,1
first,91,275.1325,276.3993,1.2668,1.2666668,(-275.0;0.0),(275.0;0.0),0.6,0.05,0,0,1
first,92,277.0993,278.3327,1.2334,1.2333333,(275.0;0.0),(-275.0;0.0),0.0235,0.0,1,1,1
first,93,279.0326,280.0828,1.0502,1.0500001,(275.0;0.0),(-275.0;0.0),0.1921,0.0,1,1,1
first,94,280.7827,281.8496,1.0669,1.0666667,(-275.0;0.0),(275.0;0.0),0.1171,0.05,0,0,1
first,95,282.5496,283.7664,1.2167,1.2166667,(275.0;0.0),(-275.0;0.0),0.0029,0.0,1,0,0
first,96,284.4665,285.4498,0.9834,0.9833334,(-275.0;0.0),(275.0;0.0),0.2088,0.0167,0,0,1
first,97,286.1499,288.3166,2.1667,2.1666667,(275.0;0.0),(-275.0;0.0),0.017,0.0088,1,1,1
first,98,289.0167,290.0999,1.0832,1.0833334,(275.0;0.0),(-275.0;0.0),0.75,0.2,1,1,1
first,99,290.7999,291.8168,1.0169,1.0166668,(275.0;0.0),(-275.0;0.0),0.6,0.05,1,1,1
first,100,292.5173,293.6003,1.0830,1.0833334,(275.0;0.0),(-275.0;0.0),0.2088,0.0167,1,1,1
first,101,294.3003,295.4003,1.1000,1.1,(275.0;0.0),(-275.0;0.0),0.0249,0.0167,1,1,1
first,102,296.1004,297.1503,1.0499,1.0500001,(-275.0;0.0),(275.0;0.0),0.75,0.2,0,0,1
first,103,297.8505,298.9673,1.1168,1.1166667,(275.0;0.0),(-275.0;0.0),0.0249,0.0167,1,1,1
